,POS,PLAYER,TOT,THRU,R1,R2,R3,R4,FEDEXCUP PTS
0,1,T. Moore,-10,F,71,67,69,67,847
1,2,A. Schenk,-9,F,66,69,70,70,584
2,T3,T. Fleetwood,-8,F,68,69,69,70,370
3,T3,J. Spieth,-8,F,67,70,69,70,483
4,5,W. Clark,-6,F,72,66,70,70,475
5,6,S. Burns,-5,F,69,73,70,67,403
6,T7,M. Wallace,-4,F,71,67,70,72,176
7,T7,C. Gribble,-4,F,72,65,70,73,160
8,T7,W. Simpson,-4,F,71,68,68,73,136
9,T10,E. van Rooyen,-3,F,70,73,71,67,189
10,T10,N. Taylor,-3,F,72,70,69,70,680
11,T10,J. Thomas,-3,F,69,70,72,70,377
12,T10,J.T. Poston,-3,F,70,68,71,72,314
13,T10,Z. Blair,-3,F,71,70,68,72,159
14,T10,P. Kizzire,-3,F,68,73,67,73,219
15,T16,R. Sabbatini,-2,F,74,65,73,70,55
16,T16,C. Percy,-2,F,72,71,69,70,159
17,T16,D. Redman,-2,F,74,69,68,71,87
18,T19,K. Lee,-1,F,74,68,75,66,395
19,T19,M. Daffue,-1,F,69,74,71,69,132
20,T19,D. McCarthy,-1,F,72,69,72,70,473
21,T19,S. Ryder,-1,F,72,71,69,71,387
22,T19,S. O'Hair,-1,F,71,72,68,72,107
23,T19,A. Long,-1,F,71,68,71,73,118
24,T19,D. Riley,-1,F,69,68,72,74,279
25,T19,M. Thompson,-1,F,74,66,69,74,96
26,T27,D. Ghim,E,F,69,70,74,71,40
27,T27,T. Werbylo,E,F,71,69,73,71,73
28,T27,A. Novak,E,F,72,70,71,71,195
29,T27,R. Werenski,E,F,71,71,71,71,122
30,T27,K. Streelman,E,F,73,70,68,73,142
31,T27,A. Smalley,E,F,68,71,71,74,407
32,T27,S. Jaeger,E,F,66,72,72,74,288
33,T27,D. Lingmerth,E,F,72,68,69,75,404
34,T27,C. Ramey,E,F,70,71,68,75,115
35,T36,P. Rodgers,+1,F,70,73,73,69,434
36,T36,J. Dufner,+1,F,71,72,73,69,46
37,T36,M. McNealy,+1,F,67,74,74,70,396
38,T36,J. Rose,+1,F,71,71,72,71,775
39,T36,J. Bramlett,+1,F,71,72,71,71,308
40,T36,W. Gordon,+1,F,70,73,71,71,318
41,T36,A. Smotherman,+1,F,72,69,72,72,109
42,T36,L. Glover,+1,F,67,72,73,73,70
43,T36,D. Lipsky,+1,F,72,70,70,73,267
44,T45,V. Perez,+2,F,70,71,75,70,-
45,T45,S.H. Kim,+2,F,71,70,73,72,354
46,T45,J. Suh,+2,F,72,69,73,72,350
