Tyrrell Hatton,7673800
Hideki Matsuyama,6377200
Sepp Straka,4902800
Chris Kirk,4889000
Ryan Fox,4849400
Si Woo Kim,4407000
Corey Conners,4237400
Alex Noren,4140400
Taylor Montgomery,3547800
Rickie Fowler,3512400
Davis Riley,3303600
Andrew Putnam,3228000
Matt Kuchar,3194400
Nick Taylor,3182600
J.J. Spaun,3145400
Christiaan Bezuidenhout,3001600
Brendon Todd,2943000
Ben Griffin,2911800
Thomas Detry,2865200
Kazuki Higa,2808000
Trey Mullinax,2775600
Adam Schenk,2671200
Luke List,2446800
Brandon Wu,2420000
Alex Smalley,2373800
Hayden Buckley,2337400
Emiliano Grillo,2320200
Matthew NeSmith,2283600
Matt Wallace,2251200
Nicolai Hojgaard,2210800
Taylor Pendrith,2195600
Erik van Rooyen,2191200
Aaron Rai,2101200
Francesco Molinari,2084200
David Lingmerth,2069800
Lucas Glover,2063400
Troy Merritt,1994400
Sam Ryder,1909200
Beau Hossler,1884000
Patrick Rodgers,1860800
Chez Reavie,1829000
Eric Cole,1770800
Mark Hubbard,1762800
Lee Hodges,1757200
MJ Daffue,1753000
Callum Tarren,1731600
Kevin Streelman,1705200
Byeong Hun An,1673400
Dylan Frittelli,1641800
Pierceson Coody,1598400
Joseph Bramlett,1597600
Nick Hardy,1591600
Garrick Higgo,1585600
Cameron Champ,1547200
Lanto Griffin,1539000
Austin Eckroat,1495800
Patton Kizzire,1472600
Russell Knox,1454200
Ryan Palmer,1449200
Martin Laird,1444000
Harry Hall,1435000
Greyson Sigg,1416800
Stewart Cink,1400200
Chad Ramey,1398800
Peter Malnati,1370000
Justin Lower,1350000
Nate Lashley,1337600
Matti Schmid,1335400
Adam Long,1299200
Ben Martin,1292000
Padraig Harrington,1252400
Scott Piercy,1235200
Michael Thompson,1230200
Chesson Hadley,1222200
Michael Kim,1218200
Kramer Hickok,1193600
Harry Higgs,1164200
Matthias Schwab,1141200
Akshay Bhatia,1119000
Ryan Gerard,1118200
Doug Ghim,1100400
Kevin Tway,1077000
James Hahn,1020600
Harrison Endycott,1015400
Satoshi Kodaira,994200
Max McGreevy,982800
Ryan Armour,979000
Brent Grant,924200
Trevor Werbylo,913800
Austin Smotherman,903200
Vincent Norrman,901000
Brice Garnett,883400
Brandon Matthews,873400
Dylan Wu,871000
Charley Hoffman,868600
Andrew Novak,827200
Ryan Moore,798800
Austin Cook,788600
Doc Redman,788000
Henrik Norlander,763000
Nick Watney,750000
Zac Blair,750000
Ricky Barnes,750000
Kevin Chappell,750000
S.H. Kim,750000
J.B. Holmes,750000
Davis Love III,750000
Nico Echavarria,750000
Hank Lebioda,750000
Tyler Duncan,750000
Andrew Landry,750000
Brian Stuard,750000
Jimmy Walker,750000
Kyle Stanley,750000
Kelly Kraft,750000
Augusto Núñez,750000
Peter Kuest,750000
Michael Gligic,750000
Carl Yuan,750000
Austen Truslow,750000
Sam Stevens,750000
Trevor Cone,750000
Roberto Díaz,750000
David Carey,750000
Will Gordon,750000
Jason Dufner,750000
Ben Taylor,750000
Robby Shelton,750000
Luke Donald,750000
Richy Werenski,750000
Cam Davis,750000
Jim Herman,750000
Paul Haley II,750000
Zecheng Dou,750000
Kevin Roy,750000
JJ Wood,750000
Carson Young,750000
Jesse Mueller,750000
Tano Goya,750000
Peter Lansburgh,750000
Scott Harrington,750000
Cole Hammer,750000
Kyle Westmoreland,750000
Chandler Phillips,750000
